State,County,"Agriculture, forestry, fishing and hunting, and mining",Construction,Manufacturing,Wholesale trade,Retail trade,"Transportation and warehousing, and utilities",Information,"Finance and insurance, and real estate and rental and leasing","Professional, scientific, and management, and administrative and waste management services","Educational services, and  health care and social assistance","Arts, entertainment, and recreation, and accommodation and food services","Other services, except public administration",Public administration,"Management, business, science, and arts occupations",Service occupations,Sales and office occupations,"Natural resources, construction, and maintenance occupations","Production, transportation, and material moving occupations"
NY,Schenectady,0.003399669,0.06218842,0.059406872,0.011381502,0.09552668,0.049597549,0.025987987,0.076983029,0.114849702,0.268251387,0.059044061,0.055241269,0.118141872,0.45835069,0.164890687,0.198618632,0.079267391,0.0988726
NY,Schoharie,0.014597407,0.123922665,0.092320832,0.015373864,0.128659057,0.053265005,0.011491575,0.064678935,0.089991459,0.23938194,0.057380231,0.041540492,0.067396537,0.329373399,0.174625359,0.188446308,0.156068018,0.151486917
NY,Seneca,0.047748886,0.058056793,0.145175234,0.0354459,0.101283501,0.026202035,0.014298065,0.042628184,0.067234156,0.248786327,0.065638093,0.060051872,0.087450954,0.336769302,0.205692625,0.172441311,0.124958436,0.160138325
NY,Steuben,0.029709968,0.056154034,0.152522544,0.013014867,0.111333171,0.036534243,0.023031928,0.048720448,0.087350719,0.282110651,0.079917134,0.044699001,0.034901292,0.440019498,0.130270534,0.181428223,0.101291738,0.146990007
NY,Suffolk,0.005427788,0.073007641,0.066517533,0.029589168,0.111037906,0.047970357,0.022169532,0.0752689,0.138067038,0.279162709,0.067771377,0.038367348,0.045642703,0.442422803,0.166144445,0.203543959,0.088920724,0.098968069
NY,Sullivan,0.013820475,0.046781321,0.086075379,0.017001154,0.125791651,0.076336308,0.012469389,0.0517353,0.075942241,0.297886115,0.097024798,0.040645143,0.058490725,0.345905931,0.222985335,0.194302925,0.050665691,0.186140119
NY,Tioga,0.00579532,0.09074944,0.075866005,0.00579532,0.122755411,0.086534662,0.009790578,0.066514466,0.09966194,0.288361066,0.075163542,0.030381525,0.042630724,0.371427317,0.151073451,0.247354788,0.115116126,0.115028318
NY,Tompkins,0.014654104,0.016267039,0.053207183,0.006196031,0.12474675,0.022836799,0.01906017,0.028482071,0.128523378,0.46631523,0.074686756,0.019512579,0.02551191,0.547591416,0.156080961,0.191880249,0.032671768,0.071775605
NY,Ulster,0.007072687,0.063631257,0.063447849,0.014500728,0.104600112,0.049176382,0.0283366,0.064387817,0.087313869,0.336107386,0.076171808,0.059516031,0.045737474,0.476655548,0.181173126,0.17281658,0.073695794,0.095658952
NY,Warren,0.002498656,0.09539172,0.089319037,0.015339849,0.121485277,0.028623842,0.013189107,0.074485245,0.079482557,0.275231679,0.109972483,0.025745643,0.069234905,0.426416169,0.171806307,0.197045893,0.100705317,0.104026315
NY,Washington,0.021537177,0.078563724,0.147594029,0.033923663,0.111269615,0.041995755,0.012977976,0.033401761,0.116349466,0.257471904,0.084965728,0.036915904,0.023033297,0.321074423,0.20176751,0.201036846,0.10883407,0.167287151
NY,Wayne,0.034747999,0.091163186,0.156455436,0.039309512,0.098989312,0.029672197,0.023947945,0.05348598,0.077791691,0.2823219,0.037833728,0.033540539,0.040740575,0.37683914,0.168082823,0.178234426,0.109699924,0.167143688
NY,Westchester,0.001838598,0.058555446,0.042137628,0.022735686,0.068287266,0.048482231,0.03143715,0.11339462,0.151192827,0.309262915,0.06685176,0.049241115,0.036582757,0.566644044,0.142320665,0.16824819,0.065874877,0.056912224
NY,Wyoming,0.044302049,0.127216483,0.09666906,0.011655527,0.104292106,0.023034856,0.018947136,0.046566867,0.072750373,0.267856156,0.083080152,0.035353256,0.068275976,0.364359498,0.173451914,0.203502182,0.153013313,0.105673093
NY,Yates,0.074172065,0.098987319,0.183377429,0.020618557,0.111486178,0.038408904,0.026274975,0.020801022,0.055104461,0.218228264,0.069154274,0.029468114,0.053918438,0.360551045,0.152267129,0.232643007,0.09615911,0.15837971
NC,Alamance,0.009937934,0.087163194,0.134784001,0.030060096,0.125178563,0.049258657,0.012031427,0.047239052,0.08820994,0.257314911,0.075538151,0.045256391,0.038027683,0.353086055,0.144857396,0.243374711,0.096780947,0.161900892
NC,Alexander,0.025891034,0.052440872,0.192371039,0.032347322,0.187627643,0.042427037,0.00533632,0.03076619,0.043547006,0.18986758,0.086764609,0.060346531,0.050266816,0.250609395,0.217998551,0.202780157,0.104157059,0.224454839
NC,Anson,0.014124644,0.049807954,0.23863214,0.008177425,0.147937059,0.101722215,0.027010284,0.007929625,0.014991946,0.19985132,0.105439227,0.040019824,0.044356338,0.14186594,0.233800025,0.226613803,0.082517656,0.315202577
NC,Ashe,0.014746704,0.096460791,0.135409438,0,0.157616239,0.032009022,0,0.089000694,0.092210271,0.205239417,0.066446912,0.044500347,0.066360167,0.285565579,0.235687023,0.182425399,0.163167939,0.13315406
NC,Beaufort,0.046627534,0.127311995,0.160815151,0.013955034,0.098460516,0.01268136,0.018883597,0.044910843,0.044412449,0.186067117,0.077084948,0.083121054,0.085668402,0.29554768,0.18025252,0.167515782,0.171115295,0.185568723
NC,Bladen,0.084949539,0.074681878,0.128652918,0.002018429,0.04800351,0.120754717,0.012812637,0.028609039,0.059324265,0.222904783,0.106186924,0.019657745,0.091443616,0.272487933,0.215796402,0.090653796,0.096007021,0.325054849
NC,Brunswick,0.007132309,0.078472176,0.071608378,0.01887964,0.133953145,0.104282741,0.016966503,0.057981473,0.10012083,0.207877425,0.087853259,0.045244009,0.069628113,0.306756394,0.185876351,0.23862187,0.124991609,0.143753776
NC,Buncombe,0.010598272,0.06884124,0.110553122,0.01898659,0.129064453,0.037537526,0.027810562,0.058361783,0.116129492,0.234278834,0.109048136,0.045767424,0.033022567,0.458973283,0.132890287,0.200163172,0.086948601,0.121024658
NC,Burke,0.024840064,0.056127549,0.25097461,0.014894042,0.120651739,0.030962615,0.005972611,0.044882047,0.055977609,0.207017193,0.046831267,0.046156537,0.094712115,0.297505998,0.177379048,0.182826869,0.106882247,0.235405838
