Geo Description,Year,BLL Category,Sex,Case Count,Lead Screening Count,"Prevalence per 1,000",95 percent Confidence Interval Label,State BLL Case Count,State Lead Screening Count,"State Rate per 1,000",Statistical Significance,High-risk,Stability,Average(BLL Case Count) Label,Average(Lead Screening Count),Total(Rate) Label,95 percent Total(Confidence Interval) Label,State Average BLL Cases Count,State Average Screening Count,State Rate,Statistical Significance for Annual Average
Norfolk,2022,Estimated Confirmed  5 g/dL (elevated),Female,52,9022,5.8,4.2 - 7.3,1032,79983,12.90274183,Statistically significantly lower,NA ,Stable  ,,,,,,,,,
Norfolk,2022,Estimated Confirmed  5 g/dL (elevated),Male,67,9383,7.1,5.4 - 8.9,1156,83250,13.88588589,Statistically significantly lower,NA ,Stable  ,,,,,,,,,
Norfolk,2022,Estimated Confirmed  5 g/dL (elevated),Total,119,18405,6.5,5.3 - 7.6,2188,163233,13.40415235,Statistically significantly lower,NA ,Stable  ,119,18405,6.5,5.3 - 7.6,30632,163233,13.40415235,Statistically significantly lower
Plymouth,2022,Estimated Confirmed  5 g/dL (elevated),Female,84,6828,12.3,9.7 - 14.9,1032,79983,12.90274183,Not statistically different,NA ,Stable  ,,,,,,,,,
Plymouth,2022,Estimated Confirmed  5 g/dL (elevated),Male,90,7205,12.5,9.9 - 15.1,1156,83250,13.88588589,Not statistically different,NA ,Stable  ,,,,,,,,,
Plymouth,2022,Estimated Confirmed  5 g/dL (elevated),Total,174,14033,12.4,10.6 - 14.2,2188,163233,13.40415235,Not statistically different,NA ,Stable  ,174,14033,12.4,10.6 - 14.2,30632,163233,13.40415235,Not statistically different
Suffolk,2022,Estimated Confirmed  5 g/dL (elevated),Female,150,8687,17.3,14.5 - 20.0,1032,79983,12.90274183,Statistically significantly higher,NA ,Stable  ,,,,,,,,,
Suffolk,2022,Estimated Confirmed  5 g/dL (elevated),Male,160,8948,17.9,15.1 - 20.7,1156,83250,13.88588589,Statistically significantly higher,NA ,Stable  ,,,,,,,,,
Suffolk,2022,Estimated Confirmed  5 g/dL (elevated),Total,310,17635,17.6,15.6 - 19.5,2188,163233,13.40415235,Statistically significantly higher,NA ,Stable  ,310,17635,17.6,15.6 - 19.5,30632,163233,13.40415235,Statistically significantly higher
Worcester,2022,Estimated Confirmed  5 g/dL (elevated),Female,137,9063,15.1,12.6 - 17.6,1032,79983,12.90274183,Not statistically different,NA ,Stable  ,,,,,,,,,
Worcester,2022,Estimated Confirmed  5 g/dL (elevated),Male,151,9583,15.8,13.2 - 18.3,1156,83250,13.88588589,Not statistically different,NA ,Stable  ,,,,,,,,,
Worcester,2022,Estimated Confirmed  5 g/dL (elevated),Total,288,18646,15.4,13.7 - 17.2,2188,163233,13.40415235,Not statistically different,NA ,Stable  ,288,18646,15.4,13.7 - 17.2,30632,163233,13.40415235,Not statistically different
